time	V(N002,VDD)*Id(M1)+V(N002,VDD)*Ig(M1)	V(N003,VDD)*Id(M2)+V(N002,VDD)*Ig(M2)	V(N003,VDD)*Id(M3)+V(N001,VDD)*Ig(M3)	V(N001,VDD)*Id(M5)+V(N003,VDD)*Ig(M5)	V(Vout,VDD)*Id(M7)+V(N001,VDD)*Ig(M7)	V(Vout)*Id(M8)+V(N001)*Ig(M8)	V(N001)*Id(M6)+V(N003)*Ig(M6)	V(N003)*Id(M4)+V(Vout)*Ig(M4)	V(N003)*I(C1)	V(Vout)*I(C2)
1.471540233657723e-06	1.125312e-07	4.923562e-08	1.032794e-07	1.355133e-09	8.620717e-10	2.227205e-10	-2.201601e-09	1.565419e-07	-4.685029e-09	-8.507700e-10
1.476423046157723e-06	1.108815e-07	5.380576e-08	1.150091e-07	1.481117e-09	7.737064e-11	6.367908e-11	-9.351931e-10	1.415141e-07	-1.886934e-09	3.160902e-10
1.486188671157723e-06	1.106243e-07	5.959218e-08	1.232454e-07	2.402812e-09	-2.563544e-10	-9.129436e-11	-6.771600e-10	1.238390e-07	-1.258154e-09	-1.002504e-11
1.495954296157723e-06	1.108163e-07	6.589418e-08	1.260701e-07	4.409779e-09	-4.966872e-10	-1.762667e-10	-8.247061e-10	1.053921e-07	-1.421000e-09	3.387094e-12
1.505719921157723e-06	1.119625e-07	7.857268e-08	1.083060e-07	1.884287e-08	-3.221101e-09	-1.156478e-09	-1.549261e-09	7.080305e-08	-2.353601e-09	2.120244e-10
1.515485546157723e-06	1.120182e-07	9.658800e-08	5.314992e-08	4.278610e-08	-9.143805e-09	-9.142417e-10	1.472638e-10	2.747299e-08	-1.046364e-09	2.563617e-09
1.525251171157723e-06	1.083898e-07	9.554800e-08	7.965844e-09	2.490474e-08	-7.203937e-09	3.854190e-08	2.206744e-09	3.582393e-09	8.091816e-10	-1.308888e-08
1.535016796157723e-06	1.045221e-07	6.530746e-08	-1.972705e-09	-2.531510e-09	1.857717e-09	5.141571e-08	4.774794e-09	-2.289852e-10	8.344656e-09	-2.141392e-08
1.544782421157723e-06	1.048376e-07	2.883096e-08	1.586318e-09	-2.530635e-09	4.034448e-09	1.230835e-09	3.953596e-08	4.945841e-09	1.510585e-08	-3.395243e-09
1.554548046157723e-06	1.075207e-07	6.301273e-09	1.073902e-08	4.361212e-09	3.728609e-08	-6.100134e-09	3.208115e-08	1.394898e-10	9.094979e-09	1.103105e-10
1.564313671157723e-06	1.100286e-07	7.155254e-10	3.642079e-09	1.240549e-09	5.338125e-08	2.225779e-09	3.012885e-09	3.567472e-08	-8.567860e-10	1.260445e-08
1.574079296157723e-06	1.123409e-07	4.305666e-09	8.788304e-09	-1.040167e-09	1.704268e-08	4.451947e-09	-4.730975e-09	1.506878e-07	-9.712495e-09	1.950941e-08
1.583844921157723e-06	1.134608e-07	2.448268e-08	5.010221e-08	-2.337426e-10	2.583906e-09	1.258309e-09	-5.301961e-09	2.048133e-07	-1.106609e-08	2.850879e-09
1.593610546157723e-06	1.130525e-07	4.969666e-08	9.292728e-08	2.454821e-09	-8.232655e-10	-2.945980e-10	-3.207712e-09	1.538003e-07	-6.721309e-09	-8.396023e-11
1.603376171157723e-06	1.121343e-07	7.042928e-08	1.140073e-07	9.303171e-09	-5.675445e-10	-1.892934e-10	-1.720347e-09	9.317912e-08	-3.056901e-09	1.481061e-10
1.613141796157723e-06	1.119703e-07	8.832213e-08	8.906988e-08	3.088213e-08	-6.236634e-09	-1.981778e-09	-1.047273e-09	4.623150e-08	-1.623897e-09	1.369447e-09
1.622907421157723e-06	1.114890e-07	1.069394e-07	4.490017e-09	5.666974e-08	-1.218275e-08	-1.039557e-09	2.577820e-09	1.214941e-08	-1.510445e-10	5.279761e-09
1.624128124282723e-06	1.110972e-07	1.081482e-07	-1.848859e-09	5.475104e-08	-1.205221e-08	6.699132e-10	3.357101e-09	1.015647e-08	-7.371132e-11	6.289338e-09
1.626569530532723e-06	1.102689e-07	1.080718e-07	-3.557919e-10	4.225226e-08	-9.930082e-09	1.394905e-08	4.526115e-09	5.206232e-09	-2.264883e-11	2.808413e-09
1.631452343032723e-06	1.088138e-07	1.020184e-07	1.346350e-09	1.749247e-08	-3.820134e-09	6.040540e-08	3.489692e-09	-6.678533e-09	3.093784e-10	-2.237802e-08
